Unnamed: 0,user_key,tweet_text_only
49999,kathiemrr,"Sunday service from February 7, 2016  photo: Rose "
50000,manuelkrosss,
50001,anthonywoodboy,Look into this account 💥 💥 Stolen Valor/Fraud     http:…
50002,evagreen69,"If you look in the mirror and don't like what you see, don't blame the mirror"
50003,ameliebaldwin,"Thanks to  we now know that  ""grab ass"" was right   still hasn't fired him…"
50004,logan_whatsup,"An hour after Baltimore curfew, crowd of protesters is mostly gone"
50005,baobaeham,Step up to excellence not down to mediocrity
50006,dorothiebell,THIS Is What Somali Cultural Enrichment Mixed With  Looks Like👉 Helpless With Their Mighty Chairs &amp; Cellphones👍
50007,hiimkhloe,hell is emptyall demons are here!
50008,emileewaren,N C Correct Transgender Restrooms Not Civil Right - American Thinker -    -
50009,jeffreykahunas,Good Morning!
50010,mr_clampin,Falling asleep during your wife
50011,malloryjared,"The conversation around Castro right now should come as no surprise seeing as people touted Bernie Sanders as ""revolutio…"
50012,ameliebaldwin,"Yes, America! Obama is campaigning 4 HC at ur expense So wrong! When will the  take a stand?  htt…"
50013,peytoncashout,China threatens to squeeze iPhone sales if Donald Trump initiates a trade war
50014,_nickluna_,Donald Trump’s Latest Childish Insult of Ted Cruz (VIDEO) | RedState
50015,fishalexanderr,"Dieselverbot in München: Gegner prophezeien ""Katastrophe"""
50016,kathiemrr,"you, you"
50017,westernwindwes,The security guard did a great job to stop the criminal though banning guns won’t solve the problem
50018,ryanmaxwell_1,Lift up our President-elect  in prayer as he chooses his cabinet
50019,giselleevns,bs
50020,jeannemccarthy0,"To the boys supporting    Sincerely, Men       https:/…"
50021,mr_clampin,One of our stunning  official models  😍 ✔
50022,jeffreykahunas,is back! Maybe he can get a debate deferment Trump: ‘We should have a debate with no moderators’
50023,jeffreykahunas,Morning       
50024,giselleevns,alone on valentine day 🤕
50025,hyddrox,"Yes folks, these are the types of people accusing us of working for the Russians"
50026,patriotblake,Made it as the Lone militia man in the final episode of  Gonna miss this show
50027,finley1589,"Pence: If My Son(a Marine)Mishandled Info Like Clinton, They'd 'At Least Be Court Marshaled'"
50028,stlouisonline,Clinton could put away Trump by carrying North Carolina
50029,gwennythot,CUT PIPELINE FUNDING  Call 866-706-8321 en mass Shut them down
50030,daileyjadon,"Smoking, binge drinking and drugs"
50031,kansasdailynews,Trump endorsement by police group exposes divide among ranks
50032,phoenixdailynew,Is Trump trying to muddy his immigration policy?
50033,ameliebaldwin,I support Team Trump! Download the official app:
50034,emileewaren,Former Trump Aide: He’s Doomed  via 
50035,notritahart,of One
50036,c__wells,"By doubting we are led to question, by questioning we arrive at the truth  – Peter Abelard"
50037,finley1589,That moment when you realize Dave Chappelle is doing more to unify the country than Obama &amp; Hillary…
50038,dorothiebell,
50039,detroitdailynew,"GOP to kick off convention; Trump to make visit: Trump provided the first surprise of the week, ann"
50040,kateritterrrr,"Oh my, can you smell the desperationpoor democrats"
50041,ameliebaldwin,"Time to Shut Down the Dangerous, Violent, Unstable Left This is No Longer Peaceful protest! They are DANGEROUS!"
50042,sternandreas404,I guess  has her work cut out for her We should look at this measure regularly   http…
50043,cassieweltch,It drives my Mom nuts when someone doesn't answer their phone She can't ignore a ringing phone no matter who's it is
50044,hollandpatrickk,The High of 2016: Marijuana Legalization Quietly Goes Global
50045,johnbranchh,Solid points discussing holes in Obama's  policy by  and 
50046,kaydenmelton,   is not only a National Security Threat but also a terrorist
50047,leroylovesusa,"CNN Leftist Charles Kaiser Uses N-Word Live on Air, Makes Anchor Cry"
50048,gloed_up,REALLY? This is what it's come to? Where our pride as an one united people to do what's right and protect our water…
50049,carriethornthon,"BREAKING VIDEO: Democrat reacts to Comey's decision to let Hillary walk again ""I am voting Trump!"""
50050,kathiemrr,For Make People Laugh
50051,mrclydepratt,Look at ya'lls man
50052,todaybostonma,Trump proposes values test for would-be immigrants in fiery  |
50053,j0hnlarsen,"    if Trump wanted to stop this hurricane, he would turn in his tax ret…"
50054,cynthiamhunter," “We’re going to close up those borders, folks Believe me”"
50055,hollandpatrickk,95 YR OLD WWII VETERAN Writes Scathing Letter To Obama: “I can’t figure out what country you’re the president of” https:/…
50056,kathiemrr,Trying to profit from my laziness
