Unnamed: 0,user_key,tweet_text_only
0,ryanmaxwell_1,Are you trying to say that there were no terrorist attacks in Europe before refugees were let in?
1,detroitdailynew,"Clinton: Trump should’ve apologized more, attacked less"
2,cookncooks,Who was/is the best president of the past 25 years? (Vote &amp; Retweet
3,queenofthewo,I don't have to guess your religion!
4,mrclydepratt,Pence and his lawyers decided which of his official emails the public could see
5,giselleevns," me, too!"
6,baobaeham,You’ll never guess who tweeted something false that he saw on TV - The Washington Post
7,judelambertusa,New post: WATCH: DIAMOND AND SILK Rip On John Kerry Over Israel Comments (VIDEO
8,ameliebaldwin,3 Women Face Charges After Being Caught Stealing Dozens Of Trump Signs
9,hiimkhloe,One of the ways to remind that
10,jasper_fly,I've buried my fortune in the park under a giant
11,patriotblake,"CW: ""The thing that impressed me was that Trump is always comfortable in own skin, but now he was comfortable being the P…"
12,anthonywoodboy,🇺🇸
13,pamela_moore13,"Dave Chappelle: ""Black Lives Matter"" is the worst slogan I've ever heard! How about ""enough is enough""? VotingTrump!"
14,laurabaeley,"Chuck Todd vs Kellyanne Conway a contentious interview here,  says  owned Chuck Todd"
15,giselleevns,to reach this level of pettiness
16,pamela_moore13,"The war is here! 
This gentleman made more sense in 30 sec than  for all time of his presidency"
17,brianaregland," Scores FIRST  Hot 100 Hit With ""Bad And Boujee"""
18,patriotraphael,He's the brilliant guy who shoots himself in the foot to spite his face  And tries to convince us to do it too  https:/…
19,hyddrox,The Marco Rubio knockdown of Elizabeth Warren no liberal media outlet will cover
20,kansasdailynews,Obama on Trump winning: 'Anything's possible'
21,ilovesarahrich,"Walmart, Michelle Obama and The Halo Effect"
22,evewebster373,it’s impossible!
23,patriotblake,Who will wave the flag?
24,margarethkurz,Bewaffnete attackieren Bus mit koptischen Christen
25,malloryjared,The bright example of our failing education
26,michellearry, How are they gonna protect us if they just let a bunch of terrorist walk the cities of our city?
27,_billy_moyer_,FC Barcelonas youth academy! La Masia doin work! Double tap for these little guys!
28,giselleevns,When I remember it's
29,jacquelinisbest,Remove these Anti Americans from America enough is enough abuse American freedoms how dare you low lives
30,heyits_toby,"This week's ""Sweden incident"""
31,paulinett,Prayer sent Never stop fighting💔
32,giselleevns,
33,judelambertusa,The KKK Says A&amp;E Producers Tried to Stage Fake Scenes for Cancelled Documentary
34,melvinsroberts,Bryan or Ryan Adams      
35,laurabaeley,
36,kristyanann,tired of kids how to get rid
37,jeannemccarthy0,"""Praise be to the Lord, the God of Israel, from everlasting to everlasting Let all the people say, 'Amen!' Praise the Lor…"
38,datwisenigga,
39,puredavie,Kareem Abdul Jabber  
40,micparrish,can be realized through all paths All
41,melanymelanin,‘Star Wars’ Han Solo movie to begin production in January
42,paulinett,Hamner-Brown is already on its way here It's been on it's way for billions of years
