Unnamed: 0,user_key,tweet_text_only
59999,queenofthewo,The boss's zipper gaping open
60000,jeannemccarthy0,Ted Cruz: The Most Consistent Fighter Leader 4Every Issue of Import
60001,ameliebaldwin,
60002,notritahart,Rosie do you need help packing?
60003,jeffreykahunas,Media Hoax Alert! Sick Hillary Clinton Does Not Have Pneumonia
60004,notritahart,"I don't want Satan worship, Islam and pedophilia in the White House"
60005,thefoundingson, Nice one!
60006,hiimkhloe,Dozens held a vigil at the Cincinnati Zoo in remembrance of a gorilla that was fatally shot to protect a boy
60007,patriotblake,"News post: ""DC Mayor, Police Dept reiterate District policy of not enforcing civil immigration laws"""
60008,melvinsroberts,Thai Hookers
60009,jeffreykahunas,Priot to 1913 there was no Income Tax Somehow we survived with no debt Enlist at  Act!!!
60010,queenofthewo,"Andrew ""Diceman"" Clay is so funny"
60011,michellearry,"Saints 2015 training camp in White Sulphur Springs, West Virginia: 7 travel points"
60012,ameliebaldwin,  
60013,heyits_toby,That's what Trump is He's a con artist
60014,lilylilyhasse,Entwarnung nach Fahrzeugkontrolle in Düsseldorf  via 
60015,thefoundingson,Exactly Come in legally or fuck off
60016,thefoundingson, *Typo
60017,melanymelanin,It's come to this
60018,mr_clampin,Demented Demagogue running this time
60019,baobaeham,How To Inspire People With Your Music!!
60020,patriotblake,"For helping de-ecalate horrific wars, and saving the lives of innocents as a result, we say Thank You, Chelsea"
60021,judelambertusa,Sounds like we're just a few clicks away from Obama's brownshirts walking the halls
60022,jacquelinisbest,The Fraunces Tavern bombing killed four people
60023,brianaregland,"And change doesn't mean  ""I'll start being mean to people and stop being kind"" It usually involves changing ur circle"
60024,evewebster373,work on
60025,emileewaren,"  We, the  are rising! We are legion and growing in number by the day! No more silence!"
60026,laurabaeley,"//tco/03fERtchS6"","""
60027,screamymonkey,German government believes Trump would ravage US economy: Spiegel
60028,datwisenigga,a short poem:
60029,cookncooks,"the  fans do not want to change the  policies, we are determined 2 take over the entire party"
60030,datwisenigga,WuLords - Sun Tzu - YouTube
60031,evagreen69,"Please pray for this Americus, GA Hero's family &amp; for GSW Officer Jody Smith, in critical condition"
60032,traceyhappymom,"headphonesin 39 years, nothing has changed - I STILL love my music!"
