Unnamed: 0,user_key,tweet_text_only
40000,c__wells,people die all the time from cabin intrusions when driving ATVs
40001,kathiemrr,Smoke signaling using Bill's special cigars
40002,lazykstafford,"Time is what we want most, but what we use worst  – William Penn"
40003,willisbonnerr,"Make no little plans; they have no magic to stir menÕs blood Make big plans, aim high in hope and work"
40004,evagreen69,Watching Juan Williams support corporations &amp; free markets debate Bill O'Reilly supporting labor &amp; protectionism
40005,evewebster373,"In 2014 alone, Obama's non-elected agency officials issued 16 new regulations for every law—that’s 3,554 regs vs 224 laws"
40006,cassieweltch,that will be like a good movie
40007,brianaregland,Ahhhhh good times!! Check out an oldie but a goodie with our guests  ! Need to get them back on!!
40008,regieblackmon,I agree cause there are also people who denounce trump and support an islamophobic jackass like you without seeing…
40009,jacquelinisbest,Our tag today is
40010,queenofthewo,A quick sharp exit
40011,michellearry,Scientists turn to drones to monitor wild populations of whales off California coast
40012,mrclydepratt,These 5 Great  Are Great For A Home  Studio
40013,emileewaren,Election Hackers Revealed As DHS Agents - Secretary of State confirms hacker IP leads to DHS -
40014,jeffreykahunas,'Spineless': Liberal journos are mad at the Trump press pool for going to the Mar-a-Lago off-the-record reception
40015,malloryjared,Just a few of the coolest ways to celebrate   (Buzz60
40016,hollandpatrickk,Woman Crush Wednesday: Seven ‘Killer’ Women On Netflix
40017,michellearry,MT  Prez  is lying (what's new) NO  for 18 years!
40018,hyddrox,MSNBC Guest: Obama White House ‘Most Hostile to Media in US History’
40019,melanymelanin,☑ The Most Heartbreaking Inspirational Video Is GUARANTEED To Make You Cry!
40020,logan_whatsup,"'Forever and Ever, Amen': Randy Travis' pastor on the country great's surprise marriage"
40021,melvinsroberts,Trump twitter suspended
40022,todaycincinnati,Hillary Clinton and Donald Trump Give More Details on T   |
40023,daileyjadon, would be the staffs fuck bitch
40024,hiimkhloe,First single PRECIOUS POSSESSION on iTunes ----&gt;
40025,j0hnlarsen,
40026,hyddrox,A woman was assaulted by a male Gustavus College student for wearing a “Make America Great Again” hat
40027,hollandpatrickk,Edit your life frequently and ruthlessly It’s your masterpiece after all
40028,westernwindwes,"Roses are red, violets are blue…Go to the gym!"
40029,micparrish,James Johnson drops the hammer! Toronto Raptors
40030,cassieweltch,
40031,kathiemrr,"Yes son, you can buy that!! Is there anything else you want?"
40032,hyddrox,
40033,puredavie, more fun than the RNC
40034,gab1aldana,why you would vote for  knowing she lies and put our national security at risk?
40035,hyddrox,EXCLUSIVE: Iran Has Harassed US Ships Three Times This Year
40036,heyits_toby,"has 132 rooms in the  , let him take in that many  !"
40037,notritahart,Sorry America is currently experiencing technical difficulties Your patience is appreciated
40038,paulinett,▶ The Opioid Scam
40039,mrclydepratt,What's that?WAX!😱 this is so amazing! No more expensive salon trips!!
40040,patriotblake,Falwell praises Trump: There's a 'good spirit in America'
40041,laurabaeley,Mark Cuban trolls  with No 46 jersey at the
40042,cynthiamhunter,
40043,siccerthanyou,I'm not a Hilary fan but if trump isn't an example of white male privilege I don't know what isI can't believe he…
40044,notritahart,The bitches of Eastwick
40045,baobaeham,No Limit East artists/music can be heard at  The world's connected rap label founded by Master P!
40046,kansasdailynews,"Trump will directly address black voters, top aide says"
40047,jenn_abrams,She really supports the deal
40048,fishalexanderr,Mischt Euch nicht ein! Kretschmann findet deutliche Worte Richtung   Das ganze Interview  2145 https:…
