Unnamed: 0,user_key,tweet_text_only
10000,traceyhappymom,I weren't British 🇬🇧
10001,mrclydepratt,
10002,mil0blake,March 18 is National
10003,jeffreykahunas,The latest   DISINFO DAILY!
10004,_nickluna_,Two young children saw their mothers die in Australia theme park ride crash
10005,brianaregland,OMG IT FINALLY HAPPENED! THE QUICK BROWN FOX JUMPS OVER THE LAZY DOG
10006,evewebster373,Kim akrdashian's implants  Kim akrdashian's implants
10007,evagreen69,The police actually abiding by the rules and not using excessive force
10008,dorothiebell,WTF?
10009,whitehousecards,Майк Пенс одержал победу в вице-президентских дебатах
10010,laurabaeley,Did IRS Leak Trump Returns 2 Help Hillary?  American Thinker
10011,heyits_toby,MT  Liberty never came from Government
10012,dorothiebell,I'd love to see a Country artist perform for President Trump on Inauguration Day! Who would you like to see? Use
10013,notritahart,America is vulnerable with Trump
10014,dorothiebell,When you're turning to fitness model Paul Ryan to assure people that there won't be any voter fraud
10015,gloed_up,"Amerikkka is literally killing people in our face and all y'all talking about is Hillary, Trump and Isis"
10016,daileyjadon,"Oh, fuck off"
10017,garrettsimpson_,2700  Rouhani's record in his 3-year of presidency
10018,rh0lbr00k,This is an insult to Holocaust victims Disgraceful
10019,datwisenigga,Enter for your chance to win a ps4!!
10020,kateritterrrr,"Howard Dean’s Unhinged, Unfounded Accusation of Cocaine Abuse Only Helps Donald Trump"
10021,westernwindwes,"News post: ""JUSTICE:  Lawyers: New court software is so awful it’s getting people wrongly arrested; Problemati…"" https:…"
10022,johnbranchh,so in response we're getting  Not mad at it
10023,donnabrivera,BOMBSHELL  Debate Cheat UPDATED  USA Today
10024,claudia42kern,wow this really takes away all the drama of guessing which party they were gonna endorse
10025,kathiemrr,Agent Orange chicken
10026,micparrish,"Hillary asked to borrow a book on emails with a section titled, ‘How To Delete Something So It Stays Deleted’ [ph…"
10027,garrettsimpson_,Constitution's 22nd Amendment: Term Limits for the President
10028,traceyhappymom,This place in SoCal serves ice cream in spaghetti form
10029,_billy_moyer_,"It isn't about who is real to your face, it's about who is real behind your back"
10030,todaycincinnati,Paul Manafort Quits Donald Trump’s Campaign After a Tumultu  |
10031,logan_whatsup,To climb steep hills requires slow pace at first
10032,evewebster373,The latest on NY Legislature: Pregnancy coverage backed
10033,darknally,Foke Richard Branson recounts a vindictive Trump at 'bizarre' lunch meeting in Manhattan
10034,rh0lbr00k,How much do you know about  record on women?
10035,giselleevns,to stop keeping up with the Kardashians
10036,willisbonnerr,The latest Prophecy Entertainment Music Media !  Thanks to   
10037,ameliebaldwin,VIDEO : Former Bernie Supporters Gather in Philadelphia For Trump
10038,giselleevns,To finally get proof that my reflection blinks an instant before I do
10039,judelambertusa,The Scooper Salutes Our Heroes:   at 57
10040,usa_gunslinger,"A bit of truth about Willy ""Dickin' Bimbos"" Clinton"
10041,evagreen69,"Hey  ,should we take away everyone's car since motor vehicle deaths outpace gun deaths"
10042,garrettsimpson_,"these companies are able to move between all 50 states, with no tax or tariff being charged Please be forewarned prio…"
10043,datwisenigga,Shaggy – “That Love (Tropixx Remix)”
10044,daileyjadon,????????????
10045,hollandpatrickk,Dogon Legend of the Nommos Fish People -
10046,thefoundingson, After 8 years they manage to find change
10047,heyits_toby,"Waitress Makes $3,600 in Donations After Receiving 'Racist Note' Now Her Story's Falling Apart"
10048,melvinsroberts,heeft zojuist online eten besteld bij Fenix via  
10049,willisbonnerr,Capitalism is a system that is rooted in anti-Black racism Capitalism only exists because of global anti-Black racism
10050,melvinsroberts,Receiving a soapy enema
10051,giselleevns,New merch by Trump is not made in China
10052,rh0lbr00k,CNN BANNED: Haitian Americans beg Trump to LOCK UP  WATCH!
10053,datwisenigga,"I'm all grown up If you can't give me the love, respect, loyalty, and peace I give you gots to go 😁"
10054,westernwindwes," During my time on tweeter, I've witness your kind words &amp; support of others that are blessed 2 follow yo…"
10055,evagreen69,Senate Repubs shld reread Article 2 Sect 2 of  Call Senate
10056,puredavie,Our Life Is What Our Thoughts Make It marcus Aurelius
10057,ameliebaldwin,"Trump, one of the richest, most famous men in the world and for 3 decades we hear nothing  Then with 3 weeks before the e…"
10058,jasper_fly,Point Breakin'
10059,brianaregland,Women of Color &amp; Horror/Sci-Fi Cosplay
10060,jaydaastonishin,Can't pronounce the state's name Not familiar with Yucca Winning strategy in Nevada
10061,kathiemrr,eating an entire roll of aluminum foil
10062,hiimkhloe,WHERE ARE YOU
10063,cookncooks,     I will never get tired of winning!! Can't wait for more!!!
10064,jeffreykahunas,cuz it only blocks content that goes against the will of the leaders
10065,queenofthewo,Red Dwarf Loach  
10066,jeffreykahunas,All these SWAMP people should be drained &amp; arrested along with Hillary &amp; charged with accessory to MURDER ! 
10067,gloed_up,This is the day little Ebony decided that God had already forsaken her
10068,j0hnlarsen,"If Hillary wins ""America will be over as we know it🔴""Hillary is most corrupt person to run in US HISTORY‼️…"
10069,nehemiahx,Fact
10070,ten_gop,"Hillary Clinton took $100,000 from a Company with ISIS ties!
RETWEET to make sure everybody knows it!"
10071,jacquelinisbest,Prayers for their people :(       
10072,donnabrivera,"When 'Trump protestor' is the highest paying job you're qualified to do, it's the liberal media/education complex you should b…"
10073,melanymelanin,Let's get  trending again to fund Michigan! Vamos a obtener # Recount2016 tendencia nuevamente para financiar M…
10074,paolakinck,Hillary Clinton has Progressive Supranuclear Palsy
10075,notritahart,
10076,cookncooks,"""You Gave 9,500 Visas To Terrorists"" Jason Chaffetz Delivers The Best Ro  via "
10077,kateritterrrr,Congress Investigating Obama Admin-Funded Campaign to Oust Israeli PM Netanyahu
10078,patriotblake,"Opinion | Robert Redford: 45 years after Watergate, the truth is again in danger"
10079,screamymonkey,Obama presses China's Xi on South China Sea ahead of G20
10080,brianaregland,Privacy is sacred Protect ya neck
10081,michellearry,  if you're tuning in to tonight's CBS  at 9 pm ET!
10082,johnbranchh,"The more I see, the less I know for sure"
10083,jeannemccarthy0,"Individually, we are one drop Together, we are an ocean"
10084,michellearry,The Pinch
10085,batonrougevoice,Hillary Clinton and Donald Trump kick off fall campaigns in Ohio: 6 takeaways
10086,_nickluna_,Trump to IMMEDIATELY Reverse One of Obama's Most Shameful Acts
10087,cassieweltch,Size 17 shoes
10088,dorothiebell,Defeat likely spells the end of Clinton Dynasty
10089,neworleanson,Obama administration stalls North Dakota oil pipeline minutes after judge approves it
10090,ameliebaldwin,"Hillary Clinton can't win if she looses FL, OH, NC, &amp; either PA or VA Trump will carry all those Mark my words The mome…"
10091,giselleevns,"these past two years have, in fact, been a dream"
10092,ten_gop,"activist says 'I HOPE I KILL ALL WHITE BABES!' 

But of course you won't see this on nightly new…"
10093,mr_clampin,that will be like a good movie
10094,edmundrjr,"Join me on  Facebook live at Noon from  discussing black Republicans, Cleveland, and"
10095,hyddrox,DON'T DISAPPOINT  HE MANIPULATES
10096,melanymelanin,"  If you implemented immigration ban decade ago, you'd prevented exactly 0 acts of Islamic terror…"
10097,lagonehoe,"Trump has given about $140,000 to a dozen people who were state AG's or running for the post from 2001 to 2014"
10098,dailysanfran,Debate stunner: Trump won’t say he’ll accept election result
10099,ten_gop,"💥💥💥
Female protestor interrupts Bill Clinton rally in Canton, OH holds up ""Bill Clinton A Rapist"" shirt!"
10100,jacquelinisbest,I think  has something to say on that
10101,jeffreykahunas,"Says She's BLACKED OUT a ""Few Times"" But You Can Hear Her Fumbling the Truth Not Fit  RT h…"
10102,leroylovesusa,terrorist-supporter
10103,kathiemrr,Orange Is The New Roughy    
10104,giselleevns,The right answer to the question: Do you think you're smarter than me?!
10105,drmichaelgarcia,'I will not accept the election results I'll keep you in suspense' - IL Douchey
10106,brianaregland,They fucking
10107,jeannemccarthy0,
10108,evagreen69,Pentagon Announces Elite Force To Combat ISIS: United States Redneck Special Forces
10109,leroylovesusa, good job guys! we're safe now
10110,hollandpatrickk,"DUDLEY: ASKED RE BREXIT, BIGGEST SURPRISE UK HOLDING UP WELL"
10111,marianeuberg1,"Peer Steinbrück ist weg, es bleibt uns nur Merkel"
10112,leroylovesusa,I couldn't say it any better
